sample_id,left_char,right_char,left_font,right_font,gap_actual,left_width,right_width,left_height,right_height,left_min_x,left_max_x,left_min_y,left_max_y,right_min_x,right_max_x,right_min_y,right_max_y,left_index,right_index,avg_width,font_size_est,gap_norm,gap_norm_left,gap_norm_right,pair_key
06096813,Ｔ,ａ,Gothic,Gothic,9.546267327099983,22.453332771999996,21.609332793099995,34.40666580650003,23.109332755600008,91.891867,114.345199772,317.83733,352.24399580650004,123.89146709909998,145.50079989219998,329.8374636263,352.9467963819,0,1,22.031332782549995,33.832940330647084,0.4333041228745427,0.4251603725841749,0.44176594522845103,Ｔ|ａ|Gothic
06096813,ａ,ｋ,Gothic,Gothic,15.724400107800022,21.609332793099995,19.874666169800008,23.109332755600008,36.327999091799995,123.89146709909998,145.50079989219998,329.8374636263,352.9467963819,161.2252,181.0998661698,315.1708009082,351.4988,1,2,20.74199948145,34.963136380823535,0.758094711257836,0.7276670806245776,0.7911780743111848,ａ|ｋ|Gothic
06096813,ｋ,ｅ,Gothic,Gothic,10.791864256799983,19.874666169800008,21.001332808299992,36.327999091799995,23.155999421100034,161.2252,181.0998661698,315.1708009082,351.4988,191.8917304266,212.89306323489998,329.8374702332,352.99346965430004,2,3,20.43799948905,34.99058736052943,0.528029382845513,0.5429960012711287,0.5138656843976541,ｋ|ｅ|Gothic
06096813,ｅ,ｕ,Gothic,Gothic,13.667066856500014,21.001332808299992,19.171999520699984,23.155999421100034,22.311999442200033,191.8917304266,212.89306323489998,329.8374702332,352.99346965430004,226.5601300914,245.73212961209998,329.83733,352.14932944220004,3,4,20.086666164499988,26.745881684294158,0.680404938508631,0.6507714049033411,0.712866012840429,ｅ|ｕ|Gothic
06096813,ｕ,ｃ,Gothic,Gothic,11.493870501000004,19.171999520699984,17.81333288799999,22.311999442200033,23.01599942460001,226.5601300914,245.73212961209998,329.83733,352.14932944220004,257.2260001131,275.0393330011,329.83733705689997,352.8533364815,4,5,18.492666204349987,26.663528745176496,0.6215366877868767,0.5995133939258702,0.6452397523398267,ｕ|ｃ|Gothic
06096813,ｃ,ｈ,Gothic,Gothic,12.853866998900003,17.81333288799999,19.359999516000016,23.01599942460001,36.327999091799995,257.2260001131,275.0393330011,329.83733705689997,352.8533364815,287.8932,307.253199516,315.1708009082,351.4988,5,6,18.586666202000004,34.90823442141177,0.6915638802141328,0.7215868630378008,0.6639394276986919,ｃ|ｈ|Gothic
06096813,ｈ,ｉ,Gothic,Gothic,11.306792519999988,19.359999516000016,5.297333200900084,36.327999091799995,34.453332472,287.8932,307.253199516,315.1708009082,351.4988,318.559992036,323.85732523690007,317.8373371,352.290669572,6,7,12.32866635845005,41.63607739047059,0.9171140001084,0.5840285538569111,2.1344310601566123,ｈ|ｉ|Gothic
06096813,竹,内,Brush,Brush,33.9436010366,92.72399768189999,81.93733128490001,68.08399829790002,70.75599823110002,103.5717350082,196.29573269009998,185.83693056159998,253.9209288595,230.23933372669998,312.1766650116,184.5038636599,255.259861891,0,1,87.3306644834,81.67058619352945,0.38867906522172485,0.36607137186909594,0.4142629556554201,竹|内|Brush
06096813,竹,内,Brush,Brush,33.9436010366,92.72399768189999,81.93733128490001,68.08399829790002,70.75599823110002,103.5717350082,196.29573269009998,185.83693056159998,253.9209288595,230.23933372669998,312.1766650116,184.5038636599,255.259861891,0,1,87.3306644834,81.67058619352945,0.38867906522172485,0.36607137186909594,0.4142629556554201,竹|内|Brush
06096813,Ｔ,ａ,Gothic,Gothic,9.546267327099983,22.453332771999996,21.609332793099995,34.40666580650003,23.109332755600008,91.891867,114.345199772,317.83733,352.24399580650004,123.89146709909998,145.50079989219998,329.8374636263,352.9467963819,0,1,22.031332782549995,33.832940330647084,0.4333041228745427,0.4251603725841749,0.44176594522845103,Ｔ|ａ|Gothic
